,Train_DBAASP_loss,Val_DBAASP_accuracy,Val_DBAASP_precision,Val_DBAASP_recall,Val_DBAASP_auc,Test_DBAASP_accuracy,Test_DBAASP_precision,Test_DBAASP_recall,Test_DBAASP_auc,Unnamed: 9,Model Num
296,0.0070815292861843,0.943181812763214,0.948275864124298,0.9375,0.943181812763214,0.9251700639724731,0.9194630980491638,0.9319728016853333,0.9251700043678284,,008
297,0.006556242412259,0.9573863744735718,0.9548022747039796,0.9602272510528564,0.957386314868927,0.9342403411865234,0.9208791255950928,0.9501133561134338,0.9342403411865234,,007
281,0.0043010145744985,0.963068187236786,0.9657142758369446,0.9602272510528564,0.9630681276321412,0.9353741407394408,0.9229074716567992,0.9501133561134338,0.9353741407394408,,010
283,0.0048925820575879,0.9517045617103576,0.954285740852356,0.9488636255264282,0.9517045021057128,0.9353741407394408,0.9363636374473572,0.9342403411865234,0.9353741407394408,,002
193,0.0090248095622133,0.9517045617103576,0.9704142212867736,0.931818187236786,0.9517046213150024,0.9319728016853333,0.9319728016853333,0.9319728016853333,0.9319728016853333,,004
274,0.0070475271727615,0.9573863744735718,0.9653179049491882,0.9488636255264282,0.9573863744735718,0.939909279346466,0.9449541568756104,0.9342403411865234,0.939909279346466,,000
155,0.0094656609658292,0.9517045617103576,0.9441340565681458,0.9602272510528564,0.9517045617103576,0.9297052025794984,0.9183223247528076,0.9433106780052184,0.9297052621841432,,009
268,0.0050193671091521,0.9517045617103576,0.9704142212867736,0.931818187236786,0.9517046213150024,0.9342403411865234,0.9362186789512634,0.9319728016853333,0.9342403411865234,,011
249,0.0064192814929521,0.943181812763214,0.9588235020637512,0.9261363744735718,0.943181812763214,0.9251700639724731,0.927107036113739,0.9229024648666382,0.9251700639724731,,006
248,0.0052767492335161,0.9602272510528564,0.9550561904907228,0.9659090638160706,0.9602272510528564,0.9365079402923584,0.9287304878234864,0.9455782175064088,0.9365079402923584,,003
189,0.0036794947275482,0.9573863744735718,0.9653179049491882,0.9488636255264282,0.9573863744735718,0.942176878452301,0.937219738960266,0.9478458166122437,0.942176878452301,,001
198,0.0079196655992395,0.96875,0.9714285731315612,0.9659090638160706,0.9687499403953552,0.937641739845276,0.9269911646842957,0.9501133561134338,0.9376416802406312,,005
